record_id,date,hour,day_of_week,is_weekend,month,season,is_holiday,temperature_C,humidity_percent,wind_speed_kmph,precipitation_mm,building_type,square_footage,building_age_years,num_occupants,num_appliances,insulation_quality,energy_star_rating,solar_panel_installed,electricity_price_per_kWh,ac_usage_hours,heating_usage_hours,lighting_hours,previous_day_consumption_kWh,avg_weekly_consumption_kWh,energy_consumption_kWh
18,2023-01-01,10,6,1,1,Winter,1,10.4,48.8,5.3,2.2,Residential,1671.0,35,4,11,1,5,1,6.39,1.1536604640166985,4.2,2.6,46.93,46.44,47.78
19,2023-01-01,11,6,1,1,Winter,1,4.3,46.1,0.9,0.0,Residential,1995.0,9,4,14,3,2,1,6.44,0.0,9.8,9.2,59.89,59.76,64.06
20,2023-01-01,11,6,1,1,Winter,1,3.1,57.7,5.5,0.0,Commercial,5775.0,6,37,39,3,3,0,9.66,0.0964359727393499,9.2,8.1,144.51,151.19,145.51
21,2023-01-01,11,6,1,1,Winter,1,6.7,43.9,3.3,0.0,Residential,974.0,44,9,5,4,2,0,7.02,0.4178906908450404,8.6,5.9,52.04,49.23,51.28
22,2023-01-01,11,6,1,1,Winter,1,7.7,49.9,3.2,0.3,Residential,1617.0,24,1,13,3,4,0,7.04,0.9380218961224498,5.2,5.1,49.53,45.94,49.47
23,2023-01-01,11,6,1,1,Winter,1,4.7,48.6,8.9,0.0,Residential,714.0,33,7,5,4,1,0,8.39,0.893292743213336,10.9,7.9,50.05,52.53,51.0
24,2023-01-01,12,6,1,1,Winter,1,13.1,84.1,9.3,0.0,Commercial,6768.0,8,25,46,5,1,0,7.71,1.039556922633981,2.1,4.2,146.11,138.77,136.35
25,2023-01-01,12,6,1,1,Winter,1,9.7,39.7,4.5,0.0,Residential,1186.0,17,4,6,5,1,0,8.63,0.07128272152940857,4.7,6.5,37.55,32.8,33.12
26,2023-01-01,13,6,1,1,Winter,1,7.3,45.5,2.1,1.0,Residential,1714.0,1,3,10,1,5,0,7.77,0.8660125649149103,7.1,3.3,55.66,48.14,53.31
27,2023-01-01,14,6,1,1,Winter,1,5.2,48.3,7.0,0.0,Residential,1324.0,58,5,8,5,1,0,6.86,0.6171961064662489,7.4,8.8,47.18,48.54,49.1
28,2023-01-01,15,6,1,1,Winter,1,15.5,49.6,4.4,0.0,Commercial,8226.0,11,30,58,5,1,1,9.77,0.0,2.9,4.4,129.78,129.64,136.42
29,2023-01-01,15,6,1,1,Winter,1,15.1,67.0,10.9,0.0,Residential,1200.0,1,2,9,5,1,0,7.35,1.0247627679038738,2.7,5.9,51.14,44.46,43.3
30,2023-01-01,16,6,1,1,Winter,1,12.1,51.9,8.8,0.0,Residential,1639.0,36,1,14,1,4,0,6.56,0.6120390352106742,3.9,6.5,52.51,52.13,54.37
31,2023-01-01,16,6,1,1,Winter,1,14.1,39.1,9.9,0.0,Residential,1468.0,28,6,8,2,5,0,9.66,0.5456388678294605,3.7,6.8,56.18,48.03,48.23
32,2023-01-01,18,6,1,1,Winter,1,14.7,72.2,0.6,0.0,Residential,930.0,53,2,10,2,4,1,6.03,0.4469171966794248,3.4,9.7,45.39,44.17,43.09
33,2023-01-01,18,6,1,1,Winter,1,16.8,58.2,18.0,0.0,Commercial,8724.0,41,33,60,1,4,0,6.55,0.6150697735902801,1.8,7.4,188.49,155.87,159.37
34,2023-01-01,18,6,1,1,Winter,1,12.1,60.0,7.2,0.0,Commercial,8907.0,52,30,61,4,3,0,7.36,0.22885690883168985,4.9,3.1,161.26,186.3,160.41
35,2023-01-01,20,6,1,1,Winter,1,12.5,62.8,0.8,0.0,Commercial,10296.0,54,31,66,1,5,0,8.86,0.4948194298839999,5.4,3.9,189.7,193.15,185.63
36,2023-01-01,21,6,1,1,Winter,1,18.2,40.2,5.0,3.3,Residential,1866.0,33,3,10,5,2,0,8.14,0.7124773743243764,0.06726137371655366,5.2,36.97,36.43,35.27
37,2023-01-01,21,6,1,1,Winter,1,18.6,54.9,6.1,0.0,Residential,1981.0,8,6,12,4,3,0,6.1,0.0,0.7436899394605478,3.5,34.56,36.27,35.52
38,2023-01-01,22,6,1,1,Winter,1,13.7,64.9,15.1,0.0,Residential,1341.0,8,6,10,1,5,0,7.49,0.0,3.7,6.9,40.55,43.03,44.09
39,2023-01-01,22,6,1,1,Winter,1,12.9,47.3,9.4,0.0,Residential,1741.0,31,4,13,1,5,0,6.87,0.39629461395251614,1.6,8.8,46.93,49.73,50.61
40,2023-01-01,22,6,1,1,Winter,1,18.6,58.7,7.9,0.0,Residential,845.0,38,3,6,4,1,0,9.8,0.03773100121156636,0.9352083084442988,10.7,32.67,35.84,33.36
41,2023-01-01,23,6,1,1,Winter,1,12.1,61.5,6.2,0.9,Industrial,9515.0,32,62,62,4,2,0,9.38,0.8618414980931061,3.9,9.2,260.64,287.0,268.88
42,2023-01-02,0,0,0,1,Winter,0,13.2,37.5,5.4,0.0,Industrial,17124.0,57,63,117,1,5,1,6.38,0.7796204452791857,1.7,8.5,328.86,306.99,331.22
43,2023-01-02,1,0,0,1,Winter,0,11.3,42.6,1.4,0.0,Residential,515.0,28,2,4,4,2,0,7.51,0.457034098536374,5.9,5.2,52.82,51.27,51.4
44,2023-01-02,1,0,0,1,Winter,0,7.2,27.6,7.4,0.0,Industrial,28126.0,35,62,185,1,5,0,7.85,0.3396681092607535,6.3,9.9,430.27,456.41,475.36
45,2023-01-02,2,0,0,1,Winter,0,10.6,57.7,2.7,0.0,Residential,1616.0,32,4,7,1,5,0,7.79,0.5290531084812768,5.5,7.1,52.39,50.87,54.57
46,2023-01-02,2,0,0,1,Winter,0,10.3,77.6,3.5,0.0,Commercial,3782.0,0,25,24,2,3,0,7.94,0.0,4.2,6.4,105.72,111.04,112.84
47,2023-01-02,3,0,0,1,Winter,0,9.5,46.7,9.7,0.0,Commercial,11835.0,59,41,77,5,1,0,8.09,1.1658518499985533,6.2,4.5,182.78,195.15,199.27
48,2023-01-02,4,0,0,1,Winter,0,7.5,52.7,3.3,0.0,Residential,1564.0,1,2,11,4,1,0,7.07,0.4228404872131373,7.3,8.7,51.42,47.66,50.93
49,2023-01-02,4,0,0,1,Winter,0,13.4,67.2,0.9,0.2,Residential,804.0,59,6,6,4,1,1,6.87,0.2271319788342389,4.6,9.4,42.22,41.27,39.25
50,2023-01-02,8,0,0,1,Winter,0,7.5,58.2,5.1,0.0,Residential,2134.0,45,5,13,4,2,0,7.87,0.0,7.4,8.4,66.43,63.41,61.29
51,2023-01-02,9,0,0,1,Winter,0,4.3,43.3,0.8,0.0,Commercial,5998.0,6,37,41,3,3,0,7.1,0.4627107224694833,9.4,3.0,148.51,137.6,146.48
52,2023-01-02,12,0,0,1,Winter,0,7.4,73.3,6.6,0.0,Commercial,8979.0,3,34,60,1,5,0,7.9,1.170117720980402,5.4,3.8,152.02,170.0,174.19
53,2023-01-02,13,0,0,1,Winter,0,13.7,57.4,10.3,1.0,Residential,1677.0,39,2,9,3,2,0,10.5,0.3836547754386797,3.8,3.1,52.15,47.72,46.68
54,2023-01-02,14,0,0,1,Winter,0,12.6,52.2,5.4,0.0,Residential,847.0,29,6,5,4,3,0,8.24,0.8730077801114322,1.9,6.2,32.93,27.49,29.65
55,2023-01-02,14,0,0,1,Winter,0,6.3,53.2,1.2,0.0,Residential,2205.0,43,2,15,2,5,1,9.14,0.0,6.5,7.0,59.26,58.29,59.74
56,2023-01-02,15,0,0,1,Winter,0,14.4,62.1,11.3,0.9,Residential,2828.0,45,4,17,5,1,0,9.62,0.10431656303016945,3.6,7.7,61.37,52.23,55.39
57,2023-01-02,16,0,0,1,Winter,0,16.7,47.6,15.8,0.0,Residential,965.0,6,1,7,2,5,0,6.92,1.1473673150671693,0.7,6.7,42.32,40.28,39.72
58,2023-01-02,19,0,0,1,Winter,0,20.6,73.9,5.0,3.3,Residential,1708.0,33,3,16,1,4,0,8.59,0.8398067144157362,0.30606947066664464,5.4,53.6,42.92,47.15
59,2023-01-02,20,0,0,1,Winter,0,14.8,70.1,3.5,0.0,Commercial,8852.0,7,32,62,3,4,0,9.82,0.530693482684207,3.2,5.2,168.28,166.22,166.8
60,2023-01-02,21,0,0,1,Winter,0,14.4,55.1,1.4,3.1,Industrial,27135.0,43,54,182,3,2,0,7.91,0.23371708978151085,0.2,5.9,402.56,444.46,446.53
61,2023-01-02,21,0,0,1,Winter,0,13.0,55.7,6.8,0.0,Residential,2537.0,47,5,20,3,4,0,7.94,0.8309167989626718,2.2,4.0,57.39,62.39,58.99
62,2023-01-02,21,0,0,1,Winter,0,16.7,44.8,13.9,0.0,Commercial,8631.0,56,28,59,3,4,0,8.78,0.5214530803680874,1.3,6.3,160.21,167.34,164.64
63,2023-01-03,0,1,0,1,Winter,0,15.2,47.4,1.5,0.0,Residential,1763.0,21,2,12,5,1,1,5.83,0.6898458044072849,4.2,6.2,35.98,40.04,42.25
64,2023-01-03,0,1,0,1,Winter,0,11.5,41.4,0.6,0.0,Residential,2060.0,34,3,14,1,4,0,6.64,1.6584882861498043,3.5,6.3,64.81,57.7,59.9
65,2023-01-03,1,1,0,1,Winter,0,11.1,52.6,5.1,0.0,Residential,2460.0,18,6,19,2,5,1,7.87,0.4480399676371659,4.8,7.2,65.26,55.89,59.35
66,2023-01-03,3,1,0,1,Winter,0,2.3,55.7,1.5,0.0,Commercial,6168.0,16,30,43,5,2,0,8.62,0.0,8.1,6.4,146.77,142.79,147.01
67,2023-01-03,4,1,0,1,Winter,0,11.5,35.9,6.1,0.0,Residential,1408.0,28,4,7,5,1,0,7.44,0.5477313247081215,5.2,7.8,42.73,38.54,41.64
68,2023-01-03,5,1,0,1,Winter,0,1.1,63.3,7.6,0.0,Residential,1686.0,8,1,10,4,2,0,7.43,0.2970798500920042,10.2,4.0,58.28,57.03,56.55
69,2023-01-03,6,1,0,1,Winter,0,5.9,44.5,7.9,1.4,Commercial,5844.0,24,37,43,4,1,1,9.83,0.0,6.2,6.4,129.96,144.59,133.29
70,2023-01-03,7,1,0,1,Winter,0,4.9,59.9,9.5,0.0,Residential,2061.0,44,7,14,3,3,0,5.31,0.0,8.3,6.9,51.4,59.91,56.69
71,2023-01-03,7,1,0,1,Winter,0,4.3,64.7,17.9,0.0,Residential,1564.0,43,7,11,2,4,0,8.27,2.076801972698483,8.5,9.6,63.09,54.01,62.62
72,2023-01-03,8,1,0,1,Winter,0,4.2,70.7,11.2,0.0,Industrial,15917.0,48,50,105,3,3,0,8.44,0.0,5.1,8.2,354.73,337.59,341.43
73,2023-01-03,8,1,0,1,Winter,0,1.0,68.2,11.8,0.0,Industrial,24113.0,12,68,163,5,1,0,6.29,1.0352569304954047,9.0,1.0,375.61,416.93,433.52
74,2023-01-03,8,1,0,1,Winter,0,3.0,74.9,1.9,0.0,Residential,968.0,57,8,7,4,3,0,8.15,0.5861573910720785,7.9,6.1,45.65,44.32,45.28
75,2023-01-03,10,1,0,1,Winter,0,7.7,64.8,6.5,0.0,Residential,1338.0,9,3,9,2,4,0,7.98,0.4748644859026401,8.4,8.1,55.68,63.16,58.81
76,2023-01-03,10,1,0,1,Winter,0,8.6,57.0,14.5,0.0,Residential,407.0,3,4,4,5,2,1,8.71,0.9399879435549243,6.3,5.0,33.9,35.24,37.52
77,2023-01-03,12,1,0,1,Winter,0,5.7,49.3,3.9,0.0,Residential,1958.0,9,6,13,1,5,0,7.45,0.10948604819709917,7.5,1.5,59.77,54.47,54.75
78,2023-01-03,12,1,0,1,Winter,0,2.3,53.6,10.9,0.2,Residential,1254.0,53,3,8,5,1,0,4.22,0.23173679121280488,10.2,4.9,54.29,52.76,58.12
79,2023-01-03,12,1,0,1,Winter,0,4.7,74.6,21.1,0.0,Residential,1011.0,9,6,4,4,2,0,8.17,0.12526809227522057,8.6,3.8,39.21,38.46,37.33
80,2023-01-03,13,1,0,1,Winter,0,14.0,52.6,2.7,0.0,Residential,1422.0,15,2,11,3,4,0,6.77,0.8496448830585341,3.5,6.4,46.88,39.34,44.5
81,2023-01-03,13,1,0,1,Winter,0,6.3,54.9,1.5,0.0,Residential,2134.0,35,6,17,5,1,1,8.51,0.0,4.6,8.1,59.01,57.36,58.03
82,2023-01-03,14,1,0,1,Winter,0,9.7,72.7,8.1,0.0,Residential,1832.0,15,5,13,4,2,1,7.7,1.2014528613532227,2.5,4.6,38.61,38.54,36.96
83,2023-01-03,15,1,0,1,Winter,0,15.8,52.2,5.7,2.6,Commercial,13297.0,4,34,87,2,4,0,9.01,1.139892692655548,0.2,5.3,212.89,216.05,202.23
84,2023-01-03,16,1,0,1,Winter,0,11.4,45.5,16.9,0.0,Residential,792.0,51,5,5,5,2,1,7.07,0.43920639447634674,6.5,2.5,41.58,36.36,36.79
85,2023-01-03,16,1,0,1,Winter,0,12.5,68.6,2.2,0.0,Residential,771.0,31,2,9,3,2,0,6.52,0.7614347834372368,4.7,7.5,41.24,44.98,43.4
86,2023-01-03,16,1,0,1,Winter,0,15.4,45.1,14.1,0.0,Commercial,7299.0,14,36,50,3,2,0,7.22,0.0,4.1,5.0,133.16,150.27,150.94
87,2023-01-03,17,1,0,1,Winter,0,19.4,59.8,5.5,0.0,Industrial,39149.0,48,63,257,4,2,1,5.08,0.6914063192787625,0.4272467048804561,5.1,497.58,512.6,533.09
88,2023-01-03,17,1,0,1,Winter,0,12.3,57.7,3.4,0.0,Residential,1909.0,40,5,12,3,2,0,6.31,2.120904711493395,3.8,9.5,48.97,56.35,52.32
89,2023-01-03,18,1,0,1,Winter,0,19.4,58.8,6.6,0.0,Residential,1939.0,42,1,9,1,5,0,6.77,0.7841093077052095,0.0,8.5,36.89,39.45,37.31
90,2023-01-03,18,1,0,1,Winter,0,14.4,26.0,4.6,4.0,Commercial,5199.0,23,22,38,1,5,0,5.01,0.635014419738624,3.7,3.7,121.5,127.59,125.02
91,2023-01-03,18,1,0,1,Winter,0,12.5,64.4,6.2,1.6,Industrial,21731.0,13,53,145,1,5,0,7.54,0.847601198831391,4.1,4.9,421.7,409.32,398.97
92,2023-01-03,19,1,0,1,Winter,0,16.5,54.3,13.6,0.9,Industrial,21782.0,13,51,147,3,4,0,7.42,0.9230339168415902,4.0,6.8,384.18,396.51,397.78
93,2023-01-03,19,1,0,1,Winter,0,12.3,62.4,22.3,0.0,Residential,1706.0,4,5,12,5,1,0,7.01,0.9144167236649917,4.7,6.2,48.17,43.61,45.79
94,2023-01-03,20,1,0,1,Winter,0,17.4,61.0,5.9,1.7,Residential,1911.0,59,4,11,2,3,0,6.63,0.2757231400993998,0.3,1.0,34.43,35.31,37.18
95,2023-01-03,21,1,0,1,Winter,0,25.2,58.8,8.5,0.0,Industrial,24874.0,33,48,169,5,2,0,4.43,4.2,0.7197558272205413,4.4,495.29,417.09,431.01
96,2023-01-03,22,1,0,1,Winter,0,18.5,50.2,12.3,3.3,Residential,924.0,43,4,4,2,5,0,7.61,0.21820339677338602,0.0,5.6,34.0,32.56,30.69
97,2023-01-03,23,1,0,1,Winter,0,13.9,50.4,8.4,0.0,Residential,1119.0,37,1,4,1,5,0,5.9,1.4725109153374525,3.0,7.0,40.13,37.68,35.87
98,2023-01-03,23,1,0,1,Winter,0,17.4,54.3,3.6,0.4,Commercial,9753.0,55,25,67,3,4,1,8.79,0.1747818961020835,0.5,3.5,152.55,175.31,160.35
99,2023-01-03,23,1,0,1,Winter,0,11.4,57.1,7.6,0.0,Commercial,11879.0,32,28,81,2,4,1,8.03,0.0,3.4,6.8,179.03,190.69,189.14
100,2023-01-03,23,1,0,1,Winter,0,12.0,49.9,5.7,0.0,Industrial,29083.0,26,66,194,1,5,0,9.17,0.4920413660854812,4.7,9.7,483.25,476.9,481.89
101,2023-01-03,23,1,0,1,Winter,0,14.0,66.3,0.8,0.0,Commercial,6754.0,47,27,47,3,4,0,8.06,1.768643373121618,2.9,7.8,139.11,136.63,146.69
102,2023-01-04,0,2,0,1,Winter,0,13.3,51.1,0.2,0.0,Residential,1174.0,59,6,6,1,5,0,5.55,0.09814312962820365,3.2,1.3,45.36,43.89,42.31
103,2023-01-04,1,2,0,1,Winter,0,7.7,43.2,7.6,0.0,Residential,1341.0,57,3,7,3,4,0,8.14,0.8910551760873344,7.4,5.8,50.18,47.31,49.95
104,2023-01-04,2,2,0,1,Winter,0,9.1,62.1,3.0,0.6,Industrial,38064.0,21,67,253,1,5,1,6.8,0.47888233854400886,5.5,9.2,575.37,547.19,550.2
105,2023-01-04,2,2,0,1,Winter,0,9.6,77.6,12.5,0.0,Residential,1200.0,13,3,5,1,5,0,7.0,0.0,6.0,8.4,45.1,41.19,40.9
106,2023-01-04,3,2,0,1,Winter,0,13.1,41.0,3.4,0.0,Commercial,5571.0,16,21,40,2,3,0,8.7,0.0,2.3,7.3,126.36,127.67,128.61
107,2023-01-04,3,2,0,1,Winter,0,4.6,53.5,4.0,0.0,Residential,1270.0,33,5,8,5,1,0,6.43,0.9168388674794477,7.6,5.6,44.5,46.75,45.51
108,2023-01-04,4,2,0,1,Winter,0,2.8,67.8,10.4,1.8,Commercial,8327.0,11,34,53,2,4,0,7.01,0.31228424281767875,9.1,6.5,180.27,156.15,171.03
109,2023-01-04,4,2,0,1,Winter,0,7.5,61.8,4.8,0.0,Commercial,6965.0,25,42,43,2,3,0,5.58,0.0,5.0,7.3,140.78,149.94,145.21
110,2023-01-04,5,2,0,1,Winter,0,9.2,62.5,2.9,0.0,Residential,1270.0,43,4,7,2,3,0,8.61,0.04901671364632043,5.9,5.8,48.69,52.25,48.18
111,2023-01-04,6,2,0,1,Winter,0,6.5,55.4,9.1,0.0,Residential,1739.0,21,5,12,3,4,0,5.79,0.7860843215931221,6.8,6.9,53.73,56.46,56.07
112,2023-01-04,6,2,0,1,Winter,0,5.7,23.1,28.0,0.0,Commercial,4260.0,44,32,27,2,5,0,9.07,0.9651304353144508,6.9,2.9,129.84,129.0,126.01
113,2023-01-04,6,2,0,1,Winter,0,3.9,58.1,3.4,0.0,Commercial,6690.0,49,34,45,4,1,0,7.47,1.1242738052576509,7.5,5.4,152.18,149.82,153.48
114,2023-01-04,7,2,0,1,Winter,0,6.2,59.5,11.4,0.0,Industrial,23727.0,39,55,158,1,4,0,6.63,0.3244283884377481,7.3,4.3,400.45,439.83,426.55
115,2023-01-04,8,2,0,1,Winter,0,6.5,68.5,10.0,0.0,Commercial,9118.0,8,29,62,2,3,0,8.43,0.06801559617544861,5.9,6.0,189.68,166.6,171.63
116,2023-01-04,8,2,0,1,Winter,0,3.2,46.0,24.4,0.0,Residential,1170.0,46,9,5,3,3,0,7.02,0.8334456946110389,8.8,5.6,54.64,54.69,53.83
117,2023-01-04,9,2,0,1,Winter,0,1.4,75.2,14.5,4.3,Commercial,4430.0,22,23,26,3,3,0,10.66,1.1891820138192788,9.5,5.4,130.16,146.69,130.52
118,2023-01-04,9,2,0,1,Winter,0,1.4,51.3,6.2,0.0,Residential,1757.0,6,4,14,5,1,0,8.5,0.9877424742580514,8.0,7.8,49.72,62.43,57.4
119,2023-01-04,10,2,0,1,Winter,0,7.4,49.2,8.9,0.0,Residential,2786.0,37,3,17,4,1,0,9.53,0.6404256596944499,6.3,3.3,56.73,63.15,59.33
120,2023-01-04,14,2,0,1,Winter,0,5.4,46.4,1.1,0.0,Commercial,7573.0,48,32,55,3,4,0,8.43,0.6082299166064613,7.5,6.8,173.17,162.78,166.99
121,2023-01-04,15,2,0,1,Winter,0,16.6,67.6,16.8,0.0,Residential,1708.0,29,5,9,5,2,0,7.94,0.436239506215935,3.9,8.0,44.23,43.94,42.9
122,2023-01-04,17,2,0,1,Winter,0,12.9,41.8,1.9,0.0,Residential,1437.0,37,7,12,4,1,0,5.63,0.4049502913114871,4.3,7.2,46.58,49.51,47.59
123,2023-01-04,17,2,0,1,Winter,0,15.2,62.6,8.9,0.0,Residential,1276.0,43,3,11,3,4,0,7.31,1.1148853435584973,3.7,7.1,40.03,44.0,43.06
124,2023-01-04,17,2,0,1,Winter,0,16.3,45.3,8.8,0.0,Residential,1820.0,32,6,11,5,1,0,9.16,0.9404775552598572,2.3,8.8,40.31,37.87,40.07
125,2023-01-04,18,2,0,1,Winter,0,13.1,54.5,10.0,0.5,Commercial,7170.0,30,31,49,3,2,0,10.59,0.3766417007430265,5.0,10.3,165.79,163.56,155.66
126,2023-01-04,19,2,0,1,Winter,0,14.4,36.7,2.8,3.0,Commercial,5285.0,50,28,35,3,4,0,7.33,1.263223378473862,0.0,4.5,139.18,129.65,124.76
127,2023-01-04,20,2,0,1,Winter,0,16.4,64.4,6.2,0.1,Commercial,8047.0,47,24,56,5,2,0,7.84,0.010212959035833413,2.7,8.2,139.14,163.3,149.73
128,2023-01-04,20,2,0,1,Winter,0,13.4,53.2,10.8,1.1,Industrial,13789.0,16,65,91,5,2,0,6.04,0.48884563273231363,3.7,5.7,308.19,324.99,313.83
129,2023-01-04,21,2,0,1,Winter,0,12.6,61.7,10.0,0.0,Residential,1970.0,9,8,14,1,5,0,7.03,0.45166755344831605,4.7,7.0,53.81,54.05,55.12
130,2023-01-04,22,2,0,1,Winter,0,12.3,52.9,23.4,2.0,Residential,1929.0,12,3,12,1,5,1,7.04,0.46580158069109356,2.3,7.1,44.71,45.65,46.08
131,2023-01-04,23,2,0,1,Winter,0,17.9,61.3,16.1,0.3,Industrial,34438.0,47,50,234,1,5,0,5.4,0.680567620600561,0.6,6.2,559.05,497.43,521.59
132,2023-01-05,0,3,0,1,Winter,0,14.2,54.4,5.6,0.0,Commercial,4873.0,22,30,34,5,1,0,8.64,0.4337462191337447,3.0,4.5,112.37,116.36,119.65
133,2023-01-05,1,3,0,1,Winter,0,9.2,63.9,5.5,0.2,Commercial,7983.0,54,23,53,4,2,0,8.49,0.6211644256276625,3.7,6.0,160.02,166.46,158.35
134,2023-01-05,2,3,0,1,Winter,0,12.6,61.4,3.2,2.5,Commercial,14207.0,27,34,97,2,4,0,7.78,0.0,2.9,7.1,195.05,202.99,216.26
135,2023-01-05,2,3,0,1,Winter,0,7.8,57.4,10.2,0.0,Residential,816.0,53,3,4,4,3,0,8.36,0.49417887381479264,6.4,6.5,34.38,43.01,38.81
136,2023-01-05,2,3,0,1,Winter,0,4.1,44.2,1.2,0.0,Commercial,6674.0,30,22,45,4,3,1,7.6,0.48084620484739127,6.5,7.0,157.37,120.61,134.79
137,2023-01-05,4,3,0,1,Winter,0,9.1,49.8,1.4,1.8,Residential,1483.0,50,3,10,5,1,0,9.23,0.46489361590303235,6.0,8.7,53.83,49.91,52.0
138,2023-01-05,4,3,0,1,Winter,0,11.9,45.7,9.5,0.2,Residential,1242.0,10,1,9,4,3,0,6.39,1.2505245234916944,4.8,6.9,50.1,42.92,44.03
139,2023-01-05,4,3,0,1,Winter,0,8.7,72.1,13.3,0.0,Industrial,21121.0,58,60,142,5,1,0,6.63,0.13827614525885829,6.2,5.8,437.79,397.59,389.83
140,2023-01-05,8,3,0,1,Winter,0,-1.7,64.4,3.7,1.0,Residential,1305.0,15,9,7,5,1,0,7.99,0.3202473132531899,9.7,6.2,57.48,61.33,59.96
141,2023-01-05,8,3,0,1,Winter,0,3.9,55.5,10.9,0.0,Residential,789.0,18,5,7,1,5,0,6.33,0.4475756867307184,8.7,3.9,52.99,55.21,52.47
142,2023-01-05,8,3,0,1,Winter,0,3.2,48.3,18.1,4.2,Residential,930.0,34,3,5,1,4,0,9.16,0.7499863351911498,11.8,3.2,57.04,55.67,53.92
143,2023-01-05,9,3,0,1,Winter,0,5.3,45.5,12.7,0.0,Residential,1204.0,21,2,9,4,2,0,8.16,0.23164060916440132,10.4,7.4,53.78,53.25,51.97
144,2023-01-05,9,3,0,1,Winter,0,1.7,56.5,8.5,0.0,Commercial,300.0,52,26,4,4,1,0,7.86,0.6767311267478733,10.3,5.1,92.5,96.36,98.14
145,2023-01-05,9,3,0,1,Winter,0,3.2,77.1,9.3,3.0,Residential,919.0,15,7,9,3,4,0,7.86,0.5385115982961588,9.3,10.1,55.87,57.24,56.19
146,2023-01-05,9,3,0,1,Winter,0,-0.1,55.1,10.5,0.0,Industrial,25115.0,26,54,170,2,3,0,7.11,0.46232907599603323,7.1,5.0,452.86,428.06,441.04
